level_0	objid	redshift	redshift_error	ra_obj	dec_obj	snr_Ha	emline_flag	Par	index	zbest	emline_flag_best	cosmosra	cosmosdec	cosmosid	cosmosz	cosmoshst	cosmoszmed	cosmoszlow	cosmoszup
64	2617.0	1.79906	0.00093	150.413236	2.417887	7.570621468926554	4.0	Par003	42	1.79906	1.5	150.41323641098364	2.417884660209097	516393.0	1.6567	25.573474485927793	1.6567	1.6458	1.6767
66	2739.0	3.31469	0.00151	150.400377	2.419538	-1.0	3.0	Par003	44	3.31469	3.0	150.40037823911115	2.4195341338658403	515970.0	3.305	24.444014462371584	3.305	3.2747	3.3635
67	2756.0	2.32624	0.0	150.397413	2.419805	2.711340206185567	4.0	Par003	45	2.32624	4.0	150.39741284149403	2.4197942735579487	515851.0	0.2004	24.90208739994483	0.2004	0.1414	2.7872
68	2842.0	2.1824	0.00118	150.413959	2.420798	8.798646362098138	4.0	Par003	46	2.1824	4.0	150.41396193449114	2.420802327278216	516819.0	0.0204	24.653446917567045	0.0204	0.0085	0.0349
401	41.0	3.24133	0.0	150.311015	1.869692	-1.0	2.0	Par017	371	3.24133	2.0	150.3110114714595	1.8696914456580231	365690.0	0.7167	25.62366320315041	0.7167	0.6867	0.8027
402	128.0	2.84037	0.0	150.311202	1.872432	-1.0	2.0	Par017	372	2.84037	2.0	150.3111979673887	1.8724299734112069	365991.0	0.575	27.752757192775466	0.575	0.4426	0.724
404	153.0	2.93258	0.00061	150.30719399999998	1.872801	-1.0	1.0	Par017	374	2.93258	1.0	150.30718759210188	1.8728050524989774	365881.0	2.9904	24.92366665011889	2.9904	2.9693	3.0133
405	180.0	2.78872	0.0	150.302818	1.873214	-1.0	1.0	Par017	375	2.78872	1.0	150.30280976186978	1.8732146976405175	365761.0	2.8413	23.838949269772115	2.8413	2.8191	2.8551
406	210.0	2.91587	0.00083	150.306199	1.873651	-1.0	3.0	Par017	376	2.91587	3.0	150.30619905810516	1.8736484753353044	365937.0	3.0349	25.449793469877395	3.0349	2.9738	3.1043
407	318.0	2.7906	0.0	150.294188	1.87507	-1.0	3.0	Par017	377	2.7906	3.0	150.29419958573905	1.8750646169857175	365587.0	0.7185	27.154154471269507	0.7185	0.2536	2.3835
408	415.0	2.60036	0.00089	150.291708	1.876482	-1.0	3.0	Par017	378	2.60036	3.0	150.2917075018698	1.8764823506078854	365649.0	2.3443	25.520942689792435	2.3443	2.2621	2.6387
409	496.0	2.13183	0.00106	150.28409	1.87721	9.151943462897526	4.0	Par017	379	2.13183	4.0	150.28409009688644	1.877210736099341	365410.0	0.6525	24.750389131219283	0.6525	0.6148	0.6802
410	676.0	2.21473	0.0	150.291521	1.87871	24.120879120879124	4.0	Par017	380	2.21473	1.5	150.291514763379	1.878712780247595	365909.0	2.1219	24.334851512093966	2.1219	2.0851	2.1312
411	723.0	2.0705	0.00118	150.316685	1.879237	16.37037037037037	4.0	Par017	381	2.0705	4.0	150.31668388367862	1.8792373514678329	367054.0	2.4462	29.00424146643589	2.4462	2.3489	3.2314
412	1116.0	2.88605	0.0	150.29368300000002	1.88199	-1.0	2.0	Par017	382	2.88605	2.0	150.293679714899	1.881991004471844	366385.0	2.9242	24.727396254115845	2.9242	2.8599	2.9588
413	1142.0	3.23645	0.00078	150.313724	1.882374	-1.0	3.0	Par017	383	3.23645	3.0	150.31372621609543	1.8823674190341764	381990.0	0.2582	27.311003708547332	0.2582	0.0695	0.8619
414	1491.0	2.80087	0.00074	150.31176200000002	1.885282	-1.0	2.0	Par017	384	2.80087	2.0	150.31176551825095	1.8852883623921821	367541.0	2.8738	26.245166789581006	2.8738	2.7656	2.9523
415	1580.0	3.06579	0.0	150.315359	1.885828	-1.0	1.0	Par017	385	3.06579	1.0	150.3153584265552	1.885828274866474	367799.0	3.0235	24.34722804478384	3.0235	2.9884	3.0922
416	1581.0	3.06199	0.00153	150.315501	1.88596	-1.0	2.0	Par017	386	3.06199	2.0	150.31549294939637	1.88595281839112	367800.0	3.0227	25.323541711133366	3.0227	2.914	3.0989
417	1647.0	2.0337	0.00074	150.299092	1.886324	25.927601809954744	4.0	Par017	387	2.0337	1.5	150.29908623088485	1.8863209588725105	367123.0	2.0631	24.169308947694212	2.0631	2.0245	2.0997
418	1654.0	3.24133	0.0	150.286426	1.886563	-1.0	2.0	Par017	388	3.24133	2.0	150.28642798051203	1.886583095499801	381604.0	0.8801	26.56835624030414	0.8801	0.8648	0.907
419	2212.0	2.96289	0.00265	150.29038	1.891041	-1.0	4.0	Par017	389	2.96289	4.0	150.2903797105799	1.8910432501955603	367279.0	2.2706	26.824150660075823	2.2706	2.1234	2.3073
420	2423.0	2.2105200000000003	0.00133	150.314266	1.892674	12.17877094972067	4.0	Par017	390	2.2105200000000003	1.5	150.31426291468236	1.8926727205638854	368494.0	2.2147	25.376179641866408	2.2147	2.1446	2.2694
422	2576.0	3.34239	0.0003799999999999	150.293561	1.893752	-1.0	1.0	Par017	391	3.34239	1.0	150.29356378692478	1.8937447920617418	367750.0	0.0689	25.991062664837067	0.0689	0.0243	2.1813
423	2764.0	3.24133	0.0	150.318801	1.895566	-1.0	2.0	Par017	392	3.24133	2.0	150.31880379048224	1.8955647329123688	369020.0	0.9424	28.32400940657053	0.9424	0.4543	2.2561
424	3691.0	2.70867	0.0005	150.316651	1.902439	-1.0	2.0	Par017	393	2.70867	2.0	150.31664856039905	1.9024390636591089	369822.0	2.729	24.4392405294239	2.729	2.7109	2.7552
425	3707.0	1.91869	0.0002399999999999	150.29457	1.901766	58.52941176470588	4.0	Par017	394	1.91869	1.5	150.2945730015521	1.901767957363284	368695.0	1.9641	23.68302546713838	1.9641	1.9093	2.0018
427	3848.0	2.21425	0.00089	150.298247	1.903409	17.450980392156865	4.0	Par017	396	2.21425	1.5	150.2982459392605	1.9034101875736082	369092.0	2.1722	25.067369106307563	2.1722	2.0979	2.2349
429	3858.0	3.05413	0.0	150.309844	1.90348	-1.0	3.0	Par017	398	3.05413	3.0	150.30984785680806	1.903476362001181	369633.0	3.1089	24.178804841322847	3.1089	3.0936	3.1273
432	4016.0	1.05131	0.00119	150.315228	1.904833	-1.0	4.0	Par017	401	1.05131	1.5	150.31522733655171	1.9048314415081051	370078.0	1.0671	24.382275972967342	1.0671	1.0566	1.0926
433	4174.0	1.93142	0.00045	150.311324	1.906073	44.55128205128205	4.0	Par017	402	2.84239354467837	1.5	150.31132307357	1.9060702383217074	370074.0	2.7988	25.080318457176013	2.7988	2.7746	2.8319
434	4285.0	3.2378	0.00113	150.299623	1.907511	-1.0	2.0	Par017	403	3.2378	2.0	150.29961543911259	1.9075169465370478	369680.0	0.1559	26.804570316910326	0.1559	0.0892	0.2366
436	4443.0	2.76497	0.0	150.292938	1.910175	-1.0	4.0	Par017	405	2.76497	4.0	150.29290987510214	1.910202932642978	369718.0	2.017	24.545690965973755	2.017	1.9022	2.0736
437	4505.0	1.79358	0.00116	150.294814	1.912251	6.348684210526317	4.0	Par017	406	1.79358	4.0	150.29481857821244	1.912255321989397	383190.0	6.7371	28.89583998176844	6.7371	0.2734	9.7355
438	170.0	1.74609	0.00106	150.296025	1.873209	5.785256410256411	4.0	Par017	407	1.74609	4.0	150.29602209834775	1.8732090602205111	380957.0	0.8572	28.51069671085263	0.8572	0.5666	2.9216
439	334.0	1.734	0.00056	150.306219	1.875139	21.398963730569942	4.0	Par017	408	1.734	4.0	150.30621259042613	1.8751429624121532	366115.0	0.7887	23.327664704528672	1.9054	1.8775	1.9474
440	429.0	3.08421	0.0	150.286347	1.876505	-1.0	2.0	Par017	409	3.08421	2.0	150.2863449819126	1.8765062706026152	365455.0	3.1184	25.00282751010011	3.1184	3.0174	3.188
441	1026.0	2.19363	0.00107	150.29779399999998	1.881769	6.546184738955823	4.0	Par017	410	2.19363	1.5	150.29782725615306	1.8817761485659066	366526.0	2.073	27.016750068072625	2.073	1.5495	2.2822
442	1145.0	2.03954	0.00201	150.31725500000002	1.882452	5.022471910112358	4.0	Par017	411	2.03954	1.5	150.31724895705167	1.8824491233758993	367450.0	2.1239	25.850308403694967	2.1239	2.0627	2.1838
445	1648.0	1.99086	0.0	150.31743799999998	1.886496	6.4088397790055245	4.0	Par017	414	1.99086	4.0	150.3174376732029	1.8864971314591865	367940.0	2.3118	27.388967285251805	2.3118	2.032	2.6125
446	1841.0	2.08781	0.00197	150.314728	1.888128	5.460992907801419	4.0	Par017	415	2.08781	1.5	150.31472615205902	1.8881243478111567	368030.0	2.0859	24.77456313773007	2.0859	2.0441	2.1444
447	2348.0	2.2919400000000003	0.00117	150.31958	1.892175	6.96138211382114	4.0	Par017	416	2.2919400000000003	4.0	150.31956878105456	1.892174616113434	368621.0	1.5297	26.98529825497646	1.5297	1.4973	1.5578
448	2561.0	2.95021	0.00227	150.304023	1.893924	-1.0	3.0	Par017	417	2.95021	3.0	150.30402188250136	1.8939217002353794	368222.0	-99.0	27.053756513766597	1.6394	1.6251	1.6512
449	2913.0	2.21663	0.00154	150.30081299999998	1.896464	5.098360655737705	4.0	Par017	418	2.21663	1.5	150.30081377521364	1.8964635808000696	368372.0	2.2158	25.85178778219001	2.2158	2.0696	2.3347
450	3291.0	2.93912	0.0	150.31428799999998	1.899236	-1.0	3.0	Par017	419	2.93912	3.0	150.3142816817971	1.899235145603754	369300.0	3.1495	25.95711817649239	3.1495	3.0689	3.3375
451	3411.0	2.15767	0.0	150.297496	1.90009	14.457142857142854	4.0	Par017	420	2.15767	1.5	150.2974968328531	1.9000952615597442	368618.0	2.1504	25.665708928987193	2.1504	2.0918	2.2328
452	3679.0	1.86292	0.0008699999999999	150.321698	1.90243	8.348348348348349	4.0	Par017	421	1.86292	4.0	150.32170191551896	1.9024341691006728	370048.0	0.7331	27.31674541691488	0.7331	0.5649	0.9048
453	3736.0	1.91351	0.0	150.298631	1.902726	6.284403669724771	4.0	Par017	422	1.91351	1.5	150.2986297855686	1.90272358564075	369010.0	1.9481	25.82740429424176	1.9481	1.8496	2.0484
454	3747.0	2.1549	0.0	150.29272	1.902934	10.634920634920636	4.0	Par017	423	2.1549	4.0	150.29271697016205	1.902940756580202	368740.0	0.4936	29.94976837289829	0.4936	0.0911	1.5483
456	3831.0	2.21473	0.0	150.31765	1.90301	26.319444444444446	4.0	Par017	425	2.21473	1.5	150.31764766674715	1.903009961576017	369942.0	2.3086	24.380939882686008	2.3086	2.295	2.3264
459	4382.0	1.87196	0.0020399999999999	150.293468	1.909174	4.870967741935483	4.0	Par017	428	1.87196	4.0	150.2934663767094	1.9091748206091024	369604.0	2.072	24.347867047909272	2.072	1.9665	2.1204
460	392.0	1.84025	0.0004	150.30017	1.876173	18.661417322834644	4.0	Par017	429	1.84025	4.0	150.30016346393833	1.876176097758164	365978.0	3.2752	27.40041498376658	3.2752	3.1784	3.3584
461	974.0	3.28589	0.00263	150.28604099999998	1.881329	-1.0	2.0	Par017	430	3.28589	2.0	150.28603756152606	1.8813250334176486	365966.0	3.2869	26.95471220216564	3.2869	3.2604	3.3398
463	1495.0	2.2239	0.0016	150.315311	1.885346	7.009009009009008	4.0	Par017	431	2.2239	4.0	150.31530569235775	1.8853420392499158	367686.0	1.5004	26.195465972646392	1.5004	1.4929	1.51
465	2450.0	2.0389	0.00098	150.28878799999998	1.893115	10.462962962962962	4.0	Par017	433	2.0389	4.0	150.28878627314384	1.8931178655603225	382095.0	0.4456	28.02264409247584	0.4456	0.111	1.2106
466	2694.0	1.90307	0.00074	150.295514	1.894493	14.752252252252257	4.0	Par017	434	1.90307	1.5	150.2955089335648	1.8944910604206762	367947.0	1.9554	24.22998658996785	1.9554	1.9094	1.9932
467	3021.0	2.0323	0.00083	150.291856	1.897338	9.02284263959391	4.0	Par017	435	2.0323	4.0	150.29187967039326	1.8973474809712465	382386.0	0.8875	27.341247808167168	0.8875	0.6464	0.9872
468	3162.0	2.05927	0.0	150.312287	1.898042	6.763636363636365	4.0	Par017	436	2.05927	1.5	150.31228262629833	1.8980403673111608	369053.0	2.0263	25.86561491964291	2.0263	1.9594	2.0877
469	4092.0	2.22988	0.0	150.304585	1.905415	6.090534979423869	4.0	Par017	437	2.22988	1.5	150.30457907393537	1.9054149805776313	369637.0	2.2061	25.382549991535733	2.2061	2.1709	2.2682
470	4500.0	2.30818	0.00063	150.29471	1.911706	26.875	4.0	Par017	438	2.30818	4.0	150.2947046816125	1.9117061960370572	369984.0	0.5823	26.476968469099855	0.5823	0.401	0.6989
660	8.0	2.18864	0.0	150.07584	2.528611	-1.0	3.0	Par023	615	2.18864	3.0	150.07588168130832	2.5285597507289563	435473.0	3.3967	24.960668844173604	3.3967	3.3398	3.4568
661	49.0	1.85184	0.0004	150.073086	2.530597	-1.0	1.0	Par023	616	1.85184	1.0	150.07307732525535	2.5306048012110365	435614.0	1.8876	24.244376843222604	1.8876	1.863	1.9551
