level_0	objid	redshift	redshift_error	ra_obj	dec_obj	snr_Ha	emline_flag	Par	index	cosmosra	cosmosdec	cosmosid	cosmosz	cosmoshst	cosmoszmed	cosmoszlow	cosmoszup	cosmos2020ra	cosmos2020dec	cosmos2020id	cosmos2020z	cosmos2020hst	cosmos2020zlow	cosmos2020zup
104	708.0	0.92223	0.0	150.668408	2.073191	10.96	4.0	Par005	77	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.66840241492497	2.0731722042236953	680507.0	1.817	26.89327621459961	1.5564	2.1599
105	739.0	1.1653	0.0	150.651166	2.073426	4.157427937915743	2.0	Par005	78	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65115607584522	2.0734241752369984	681008.0	1.1211	25.061214447021484	1.0644	1.1694
108	763.0	1.24094	0.00064	150.657078	2.073715	14.269662921348312	1.0	Par005	81	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65707475541925	2.073721764146015	681333.0	1.1564	25.209903717041016	1.0779	1.2461
109	774.0	1.43021	0.0	150.648428	2.073808	7.180952380952381	1.0	Par005	82	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6484145156605	2.0737836975460344	681277.0	1.0187	26.08662986755371	0.8373	1.1287
111	872.0	2.7832	0.00106	150.643238	2.074873	-1.0	4.0	Par005	84	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64321903889606	2.074886275082811	682970.0	2.775	24.728561401367188	2.7096	2.839
112	909.0	0.72861	0.0	150.661642	2.075258	6.985645933014354	4.0	Par005	85	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6616374019124	2.0752569881672436	683243.0	0.76	24.62824058532715	0.7304	0.788
113	936.0	1.50819	0.0	150.632916	2.075519	4.700854700854701	4.0	Par005	86	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6329174140937	2.0755250141454216	683486.0	2.5799	24.928462982177734	2.4734	2.6582
114	944.0	1.32696	0.0	150.654615	2.075409	9.5	4.0	Par005	87	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6546325094169	2.075420702330142	684048.0	0.1552	24.223480224609375	0.0688	0.1777
117	1013.0	1.76531	0.00086	150.661299	2.076085	-1.0	2.0	Par005	90	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.66130301603857	2.0760891906303014	683947.0	1.7507	25.191734313964844	1.661	1.8718
118	1014.0	0.77506	0.00044	150.674506	2.076033	18.924050632911392	4.0	Par005	91	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.67450067338868	2.076035515765957	684355.0	2.4354	24.535371780395508	2.2508	2.5492
